mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
2227254,680,47,30,4,0,false,false,0,false,好色喵の便当（五道口店）
1901520,3189,47,38,3,0,false,false,0,false,疯保一锅香
297046,732,49,40,9,0,true,false,0,false,必胜宅急送（善缘街餐厅）
297046,732,49,40,9,0,true,false,0,false,必胜宅急送（善缘街餐厅）
386432,1280,45,30,7,20,true,false,0,true,汤城小厨（苏州街店）
998143,1272,48,41,6,35,true,false,0,true,火齐潮汕砂锅粥(五道口店)
1736711,2264,47,30,5,20,true,false,0,true,永和大王（成府路店BJ021）
1662196,517,45,37,2,0,false,false,0,false,济味源商诚黄焖鸡米饭
2240492,82,48,30,6,20,false,false,0,true,擀面杖
278361,465,48,40,9,0,true,false,0,false,肯德基宅急送(海淀镇店）
158409,1315,46,32,2,10,false,false,0,false,大鸡排（北大旗舰店）
640917,2146,44,30,4,0,true,false,0,false,张亮麻辣烫（万泉河店）
2191474,416,47,36,3,0,false,false,0,false,勇敢的厨子（中关村店）
52602,4680,47,31,4,0,false,false,0,false,第一佳大鸡排（人大学生创业店）
866929,994,47,35,6,20,true,false,0,true,巴依老爷新疆美食（清华东门店）
2367453,44,41,45,5,30,false,false,1,false,哈啾汉堡（清华店）
2321897,84,47,43,3,20,true,false,0,false,继光香香鸡
2280680,456,45,30,3,0,false,false,0,false,九品太煲·铁煲饭
1693665,251,46,30,2,0,false,false,0,false,八戒（猪蹄饭＋蛋炒饭）
140164,1403,48,30,6,20,true,false,0,true,健将一品粥（中关村店）
1193708,736,48,60,8,0,true,false,0,false,望湘园(望湘园（北京五道口华联店）)
758285,243,46,31,4,25,false,false,0,false,川友园麻辣香锅
503568,197,48,36,5,20,false,false,0,true,苏轼酒楼
2046971,1566,47,36,3,0,false,false,0,false,遇健·低脂健康餐（中关村）
1766908,673,48,39,5,20,false,false,0,true,故香思潮汕砂锅粥（清华店）
147708,176,47,38,6,20,true,false,0,true,川成元麻辣香锅（中关村家乐福���）
1161233,965,46,40,6,30,false,false,0,false,樱花屋（清华店）
1795610,843,48,30,7,20,true,false,0,true,眉州小吃（苏州街店）
309203,992,46,44,3,0,true,false,0,false,无名缘米粉
318833,165,50,64,0,100,true,false,0,false,站点比萨（北大餐厅）
1780666,219,50,57,0,0,false,false,0,false,峰来旺桂林米粉
2192242,740,45,30,3,20,false,false,0,false,凉皮先生（清华大学店）
794165,107,44,34,5,20,false,false,0,true,五方院
338066,354,47,31,2,0,false,false,0,false,秦晋老汤羊肉（羊汤凉皮）
201000,983,48,31,7,20,true,false,0,true,汉拿山（新中关店）
806064,762,43,35,3,0,false,false,0,false,江西瓦罐汤
1969370,192,48,35,3,0,false,false,0,false,桃园煲仔饭（五道口店）
512243,1839,48,41,6,20,false,false,0,true,桃屋日本料理（五道口总店）
368058,158,49,33,5,20,true,false,0,true,吉吉熊比萨(五道口店)
343392,437,48,46,7,0,true,false,0,false,吉野家(西苑店)
623589,1034,47,37,6,20,true,false,0,true,芝士分子披萨（新中关店）
525043,3433,48,34,7,20,true,false,0,true,德克士(五道口店)
2371140,19,0,30,3,15,false,false,1,false,天下第一粉
2370681,264,44,30,3,15,false,false,1,false,不忘初心烤肉饭
