lng,lat,mtWmPoiId,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,name
116.28,39.94,164948,6351,48,61,8,20,true,false,0,false,"果腿儿鲜果切"
116.28,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.28,39.94,12721,5749,48,37,26,0,false,false,0,false,"极速汉堡"
116.28,39.94,312176,5407,44,33,5,20,false,false,0,false,"大粥锅（万寿路店）"
116.28,39.94,356830,5289,46,30,5,20,true,false,0,true,"田老师红烧肉(紫竹院一店)"
116.28,39.94,417468,5193,44,33,4,0,true,false,0,false,"张亮麻辣烫（金源店）"
116.28,39.94,943862,5185,47,68,8,0,true,false,0,false,"老婆很芒"
116.28,39.94,339510,4890,46,35,4,15,true,false,0,false,"张亮麻辣烫（厂洼店）"
116.28,39.94,17765,4707,46,36,5,15,false,false,0,false,"东北特味"
116.28,39.94,1030344,4629,46,30,4,20,true,false,0,false,"张亮麻辣烫（金沟河店）"
116.28,39.94,325764,4214,48,45,7,30,true,false,0,true,"京味斋(北洼路)"
116.28,39.94,1803304,3702,46,35,3,20,false,false,0,false,"李记 凉皮肉夹馍"
116.28,39.94,1081706,3564,48,61,8,0,true,false,0,false,"果腿儿鲜果切"
116.28,39.94,458637,3516,46,34,4,15,true,false,0,false,"焦耳川式快餐（航天桥店）"
116.28,39.94,1841420,3472,47,34,4,15,false,false,0,false,"张亮麻辣烫（紫竹桥店）"
116.28,39.94,112780,3383,47,32,7,20,true,false,0,true,"嘉和一品粥(北洼路店)"
116.28,39.94,1757868,3303,48,36,4,0,true,false,0,false,"小火慢炖排骨米饭"
116.28,39.94,498,3171,47,35,8,30,true,false,0,true,"宏状元(花园桥店)"
116.28,39.94,379616,3083,46,32,3,25,true,false,0,false,"张亮麻辣烫（田村店）"
116.28,39.94,819242,3016,45,37,4,15,true,false,0,false,"小暖便当（紫竹桥店）"
116.28,39.94,1429281,2768,48,33,4,15,true,false,0,false,"叫了个鸡（紫竹桥店）"
116.28,39.94,1611467,2739,48,34,4,15,true,false,0,false,"虾饭先生（航天桥店）"
116.28,39.94,267698,2702,46,47,5,20,true,false,0,true,"大鸭梨烤鸭(北洼路店)"
116.28,39.94,97310,2557,47,46,7,20,true,false,0,false,"和合谷(海淀区田村店)"
116.29,39.94,164948,6351,48,61,8,20,true,false,0,false,"果腿儿鲜果切"
116.29,39.94,19177,5836,47,67,20,0,true,false,0,false,"麻辣诱惑·麻辣小龙虾·麻小外卖"
116.29,39.94,12721,5749,48,37,26,0,false,false,0,false,"极速汉堡"
116.29,39.94,998212,5467,47,36,8,30,false,false,0,false,"小俩口烤肉拌饭"
116.29,39.94,312176,5407,44,33,5,20,false,false,0,false,"大粥锅（万寿路店）"
116.29,39.94,356830,5289,46,30,5,20,true,false,0,true,"田老师红烧肉(紫竹院一店)"
116.29,39.94,417468,5193,44,33,4,0,true,false,0,false,"张亮麻辣烫（金源店）"
116.29,39.94,943862,5185,47,68,8,0,true,false,0,false,"老婆很芒"
116.29,39.94,339510,4890,46,35,4,15,true,false,0,false,"张亮麻辣烫（厂洼店）"
116.29,39.94,17765,4707,46,36,4,15,false,false,0,false,"东北特味"
116.29,39.94,1030344,4629,46,30,4,20,true,false,0,false,"张亮麻辣烫（金沟河店）"
116.29,39.94,325764,4214,48,41,6,30,true,false,0,true,"京味斋(北洼路)"
116.29,39.94,1803304,3702,46,35,3,20,false,false,0,false,"李记 凉皮肉夹馍"
116.29,39.94,1081706,3564,48,61,8,0,true,false,0,false,"果腿儿鲜果切"
116.29,39.94,458637,3516,46,34,3,15,true,false,0,false,"焦耳川式快餐（航天桥店）"
116.29,39.94,1841420,3472,47,34,3,15,false,false,0,false,"张亮麻辣烫（紫竹桥店）"
