name,sold,star,deliverTime,minDeliverFee,minFee,brand,overtimePaymentSupported,isNewShopPromotion,extraService,mtWmPoiId
张亮麻辣烫（厂洼店）,5267,46,34,7,15,true,false,0,false,339510
东北特味,4677,46,36,7,15,false,false,0,false,17765
小火慢炖排骨米饭,3519,48,36,5,0,true,false,0,false,1757868
私菜益汤（航天桥店）,2450,45,34,5,20,false,false,0,false,2046210
嘚德饭,2298,45,46,1,20,false,false,0,false,299537
庆丰包子铺（美丽园店）,2233,48,30,5,20,true,false,0,true,422608
大粥锅（万寿路店）,5805,44,34,5,20,false,false,0,false,312176
田老师红烧肉(紫竹院一店),5560,45,30,5,20,true,false,0,true,356830
京味斋(北洼路),4544,48,46,7,30,true,false,0,true,325764
张亮麻辣烫（紫竹桥店）,3733,47,34,4,15,false,false,0,false,1841420
焦耳川式快餐（航天桥店）,3682,46,34,4,15,true,false,0,false,458637
嘉和一品粥(北洼路店),3623,47,32,7,20,true,false,0,true,112780
宏状元(花园桥店),3407,47,36,8,30,true,false,0,true,498
小暖便当（紫竹桥店）,3200,45,37,4,15,true,false,0,false,819242
叫了个鸡（紫竹桥店）,2943,48,33,4,15,true,false,0,false,1429281
虾饭先生（航天桥店）,2908,48,34,4,15,true,false,0,false,1611467
大鸭梨烤鸭(北洼路店),2875,46,56,5,20,true,false,0,true,267698
小俩口烤肉拌饭,5860,47,36,8,30,false,false,0,false,998212
桃园煲仔饭（魏公村店）,2953,48,30,4,0,false,false,0,false,1884728
第一佳大鸡排（人大学生创业店）,5463,47,36,5,0,false,false,0,false,52602
东北老杨麻辣拌,4224,47,34,4,15,false,false,0,false,651617
FORFIT元气厨房,3108,48,36,4,15,false,false,0,false,1029020
云南过桥米线（人大店）,6318,45,37,5,15,false,false,0,false,1264698
湘香小厨,5290,47,37,7,20,false,false,0,false,576322
食邑韩舍石锅拌饭,4599,46,38,5,15,false,false,0,false,1241688
木桶传奇,3782,43,39,4.5,25,false,false,0,false,2422
一锅鲜麻辣香锅,3721,43,39,5,15,false,false,0,false,1267029
田老师红烧肉(海淀交大店),9814,45,31,4,15,true,false,0,false,971211
金百万美食MALL（万柳店）,6942,47,54,7,20,true,false,0,true,544
台式脆皮鸡排饭,4286,47,37,4,15,false,false,0,false,1675697
虾饭先生（西直门店）,4260,48,33,4,15,true,false,0,false,1820333
焦耳川式快餐（华宇店）,3784,47,34,5,15,true,false,0,false,98659
田老师红烧肉（魏公村法华寺店）,3739,47,33,5,20,true,false,0,true,267260
缘来赫赫小厨麻辣香锅（人民大学店）,3279,48,37,5,15,true,false,0,false,2043954
面和抄手（交大店）,3184,48,39,6,35,false,false,0,false,10061
辣妹子湘菜馆（展览路店）,3154,45,31,4,0,false,false,0,false,508811
张亮麻辣烫（大钟寺店）,10069,44,34,5,15,true,false,0,false,721751
德克士（阜成门店）,8146,48,38,8,40,true,false,0,false,114591
凉皮先生（西直门凯德店）,6467,47,34,3,15,true,false,0,false,1185563
小火慢炖排骨米饭（四道口店）,6053,46,35,4,0,true,false,0,false,1625164
原味觉醒·健康餐（四道口店）,4319,48,34,4,15,true,false,0,false,1331286
金渝川菜（交大店）,3768,47,40,6,20,true,false,0,true,1965621
金百万美食MALL（四道口店）,6276,46,32,4,20,true,false,0,false,575
dudu私房煲仔饭,6246,47,36,6,0,false,false,0,false,1010346
黄焖鸡米饭（西直门店）,4846,45,34,4,0,false,false,0,false,70387
张亮麻辣烫（交大店）,3410,47,34,3,15,true,false,0,false,597529
避风港港式餐厅(护国寺店),3327,45,37,5,15,false,false,0,false,1683185
京味斋(小西天店),5368,47,46,7,30,true,false,0,true,271435
成都烤肉拌饭·炸鸡桶饭,4758,46,40,3,20,false,false,0,false,1111337
魏家凉皮(护国寺店),4756,48,30,4,15,true,false,0,false,293067
张亮麻辣烫阜成门店,4468,42,34,3,0,false,false,0,false,256860
海盗虾饭（魏公村店）,4217,48,45,7,20,true,false,0,true,414836
南京大牌档(西直门凯德店),3954,47,36,6,20,true,false,0,true,297833
大食堂,3762,45,46,6,35,false,false,0,false,165237
西少爷肉夹馍(西直门凯德MALL店),3733,48,31,5,20,true,false,0,true,1124121
南城香 (新街口店),3525,48,30,6,20,true,false,0,true,2161169
大东北烤肉拌饭（西单店）,6333,47,40,5,0,true,false,0,false,864547
绿茶餐厅（北京西直门凯德MALL店）,3224,46,44,5,20,true,false,0,true,992459
汉堡王(西直门凯德店19575),3102,47,30,5,20,true,false,0,true,168645
凉皮先生（西单店）,3093,47,38,7,30,true,false,0,false,869477
小火慢炖排骨米饭,2907,46,43,5,0,true,false,0,false,1084989
亚米荟盐酥鸡（北师大店）,2887,48,30,4,20,true,false,0,false,132342
黄焖鸡米饭(新街口店),2684,45,35,3,0,false,false,0,false,857740
吉野家(新街口店),2618,48,45,7,0,true,false,0,false,320286
赛百味（西直门凯德店）,2563,48,38,4,15,true,false,0,false,877491
金百万美食MALL（官园店）,2426,45,30,6,20,true,false,0,true,1984146
美食美客麻辣香锅（和平里店）,5676,45,39,5,15,false,false,0,false,1758797
云南过桥米线(东四十二条店),2864,43,35,5,0,false,false,0,false,1101297
聚福居,12679,42,40,4,15,false,false,0,false,1304048
粗粮人家（东直门店）,4327,46,36,7,20,true,false,0,true,688621
鸿福饺子馆,3822,43,40,4,15,false,false,0,false,613230
缘来赫赫小厨麻辣香锅（朝阳门店）,3331,47,38,7,15,true,false,0,false,2042427
永和大王（东四十条店BJ059）,2648,47,34,6,20,true,false,0,true,724250
靠谱排骨脆皮鸡烤肉饭,2613,47,31,7,15,false,false,0,false,1543323
茶尼玛（新美食街）,2436,49,49,6,20,false,false,0,false,1602485
缘来赫赫小厨麻辣香锅（和平里店）,2428,46,34,4,15,true,false,0,false,1751597
凉皮先生（东四店）,8552,48,35,5,15,true,false,0,false,1002498
凉皮先生（东单店）,5230,47,37,6,15,true,false,0,false,778254
张亮麻辣烫(工体北路店）,4896,43,36,5,15,true,false,0,false,1978301
焦耳·川式快餐（银河SOHO店）,4156,46,37,6,15,true,false,0,false,735543
凉皮先生（朝阳门店）,4032,46,39,6,15,true,false,0,false,1191717
麻辣香锅（北京INN店）,3804,45,47,7,20,false,false,0,true,1122868
熊三拌饭,3639,46,42,7,20,true,false,0,false,754810
熊三拌饭（和平里店）,3214,48,33,3,20,true,false,0,false,1572311
小恒水饺（东直门银座店）,3075,47,53,6,20,true,false,0,true,1649639
花家怡园（东直门店）,2966,47,33,5,20,true,false,0,true,866213
悟空鲜果,2820,48,41,5,30,false,false,0,false,2027106
田老师红烧肉（朝阳门银河soho）,6135,41,46,4,15,true,false,0,false,585202
张姐烤肉拌饭（左家庄店）,5360,47,36,4,20,true,false,0,false,1491375
老吕驴肉火烧,4712,45,47,5,20,false,false,0,false,518165
桂林米粉,4090,46,39,7,20,false,false,0,false,63976
大东北烤肉拌饭（三元桥店）,3675,44,38,5,15,true,false,0,false,1088060
京味斋(月坛店),5969,47,52,6,20,true,false,0,true,271455
大鸭梨烤鸭(甘家口店),2994,45,31,5,20,true,false,0,true,267695
黄焖鸡米饭（北京西站店）,2979,47,37,7,0,false,false,0,false,436371
嘉和一品粥(甘家口店),2966,45,30,6,20,true,false,0,true,112745
满香园土耳其烤肉饭,5291,47,38,7,0,false,false,0,false,827205
一品一味烤肉拌饭,3168,47,35,7,0,false,false,0,false,2303175
永和大王（阜成门店BJ078）,2845,48,30,6,20,true,false,0,true,724244
焦耳川式快餐（西单店）,2752,45,47,4,0,true,false,0,false,679916
黄焖鸡米饭（真武庙店）,2667,45,34,7,0,false,false,0,false,2249196
恩泽源盐酥鸡&汉堡,2274,48,32,3,0,false,false,0,false,231062
孟福楼桂林米粉广东小吃,2265,47,45,5,100,false,false,0,false,94487
悟空·鲜果,2202,49,40,5,30,false,false,0,false,1685690
和合谷(西城区华威店),2194,48,49,7,20,true,false,0,false,97946
魏家凉皮(交道口店),2398,48,30,4,15,true,false,0,false,293062
金百万美食MALL（恒基店）,5941,46,57,7,20,true,false,0,true,201303
德克士(北京站店),4686,45,48,3,30,true,false,0,false,453773
粤粥坊,3316,46,38,5,15,false,false,0,false,590624
鑫泰源粥店（总店）,3278,44,40,5,20,false,false,0,true,244336
东北特色砂锅米线,6398,45,41,7,0,false,false,0,false,535608
馍饭传奇（东大桥店）,5615,45,38,6,20,true,false,0,false,1931950
魏家凉皮(春秀路店),4476,47,38,5,15,true,false,0,false,293065
沙县小吃（工体店）,3430,46,50,5,20,false,false,0,true,1321109
张姐烤肉脆皮鸡饭,9439,46,37,6,20,false,false,0,false,871471
大东北黄焖鸡vs烤肉拌饭（石佛营店）,7628,46,39,14,20,true,false,0,false,1884456
大东北烤肉拌饭（国贸店）,5535,46,40,6,15,true,false,0,false,787017
田老师红烧肉(大杂院店),5242,43,39,7,20,true,false,0,false,267157
娄记烤肉拌饭（团结湖旗舰店）,4073,46,39,5,0,false,false,0,false,188415
鑫鑫家常菜,3823,43,40,6,20,false,false,0,false,1717577
京滋味双拼饭,5170,45,39,5,20,false,false,0,false,2264886
张亮麻辣烫（永安里店）,4901,45,39,6,20,true,false,0,false,1346001
大鸭梨烤鸭(红庙店),3925,46,59,7,20,true,false,0,true,171906
紫光园（团结湖店）,4088,48,46,5,20,true,false,0,true,594586
嘉和一品粥(金台路店),3819,47,45,6,20,true,false,0,true,112719
小火慢炖排骨米饭,3725,44,39,6,20,true,false,0,false,353736
黄焖鸡米饭排骨米饭,10825,44,42,8,15,false,false,0,false,1264461
十一家,7302,43,51,5,30,false,false,0,false,524451
杨国福麻辣烫（soho现代城店）,5148,47,39,4,20,false,false,0,false,251256
云南过桥米线,3772,48,39,3,20,false,false,0,false,550629
爱尚排骨饭（慈云寺店）,3763,45,37,5,20,true,false,0,false,1204963
魏家凉皮(八里庄店),6973,47,30,6,15,true,false,0,false,293061
好粥道,5601,43,35,5,20,false,false,0,false,609182
焦耳·川式快餐（住邦2000店）,4376,47,36,4,15,true,false,0,false,273977
煲煲香东北炖,3596,46,37,5,20,false,false,0,false,901170
材够熏肉大饼,3484,47,42,5,20,false,false,0,false,1662782
凉皮先生（慈云寺店）,3348,47,38,4,20,true,false,0,false,1120348
张亮麻辣烫,4932,47,35,9,15,true,false,0,false,394131
大鸭梨烤鸭（石佛营店）,4444,44,38,5,20,true,false,0,true,644740
曲家饺子（慈云寺店）,3311,47,37,6,20,true,false,0,false,562937
张亮麻辣烫（甘露园店）,3199,47,33,5,15,false,false,0,false,616336
张亮麻辣烫（慈云寺店）,3164,45,48,7,25,true,false,0,false,103151
